Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1925|6700257|160|2026-04-07|COVE268285SV5|CIF|USD|737.24|737.24|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-29 12:49:01|
1614|6002332|160||COVE268277BG3|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 08:43:05|
3471|6400806|160|2026-02-25|COVE2680IFNZ3|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-02 00:47:01|
3577|6300815|521|2026-04-22|COVE2682IB095|DAP|USD|843.87|843.87|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2026-04-27 15:51:01|
3577|6300693|521|2026-04-07|COVE2682MR1U7|DAP|USD|2988.31|2988.31|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2026-04-29 14:01:01|
3471|6401085|160|2026-04-06|COVE26823FZK1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 11:42:03|
1925|6100270|160|2026-03-13|COVE2680M7U88|CIF|USD|314.92|314.92|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-15 20:54:01|
1614|6001963|160||COVE26813JOL7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-06 10:12:03|
3043|6001114|523|2026-01-07|COVE2682N3SD2|DPU|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2026-04-30 11:14:01|
1925|6700248|160|2026-03-31|COVE2682DRF24|CIF|USD|49034.78|49034.78|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 20:00:02|
1614|6002324|160||COVE26825YQ77|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-23 16:49:04|
3471|6401053|160|2026-04-02|COVE26829WA28|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 12:32:05|
1925|6700244|160|2026-03-31|COVE2682DFMK5|CIF|USD|24439.94|24439.94|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 20:00:01|
3471|6401055|160|2026-04-02|COVE2682CL1M1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 13:11:05|
1925|6700245|160|2026-03-31|COVE26828IJ61|CIF|USD|322.04|322.04|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 16:25:06|
1925|6700214|160|2026-03-26|COVE2681MLWW3|CIF|USD|545.30|545.30|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-23 15:01:03|
3496|6000476|850||COVE2682EUYY6|DAP| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD||||||2026-04-27 09:47:11|
3471|6401086|160|2026-04-06|COVE26823GGJ2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 11:42:03|
1925|6100250|160|2026-02-28|COVE2680BRTK8|CIF|USD|51839.49|51839.49|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-09 09:52:01|
1614|6002319|160||COVE2681ZI7J6|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-20 15:18:03|
3471|6401105|160|2026-03-29|COVE26826X3E1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 19:45:02|
3471|6401106|160|2026-03-29|COVE268282L37|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 19:45:01|
1614|6003557|160||COVE2681ZER13|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-23 09:17:03|
3471|6400752|160|2026-02-07|COVE2680YX6L7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-01 16:33:04|
3471|6401104|160|2026-03-29|COVE2682GYUF1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 19:45:02|
3471|6401086|160|2026-04-06|COVE26823GS33|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 11:42:03|
1614|6002165|160||COVE268209GJ2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-20 14:21:05|
