Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
3471|5600867|160|1|2025-11-11|2025-11-14 16:09:02|
1925|5700282|160|2|2025-11-19|2025-11-19 10:04:01|
3471|5600735|160|2|2025-11-20|2025-11-20 16:20:03|
1925|5001374|160|2|2025-11-01|2025-11-01 11:06:01|
3471|5600727|160|1|2025-11-03|2025-11-13 09:40:06|
1925|5700240|160|1|2025-11-11|2025-11-13 11:24:02|
1925|5700319|160|1|2025-11-25|2025-11-28 11:23:03|
1925|5700212|160|2|2025-11-12|2025-11-12 18:08:01|
1925|5100823|160|1|2025-11-11|2025-11-12 16:31:00|
1925|5700337|160|2|2025-11-21|2025-11-21 12:23:01|
1925|5001427|160|2|2025-11-19|2025-11-19 12:00:05|
3043|5603323|520|5|2025-10-27|2025-11-10 18:13:00|
1925|5700313|160|2|2025-11-28|2025-11-28 11:33:01|
3043|5603319|523|5|2025-10-27|2025-11-11 18:09:01|
1925|5700313|160|1|2025-11-25|2025-11-28 11:33:01|
3471|5600949|160|2|2025-11-27|2025-11-27 18:39:02|
1925|5700351|160|2|2025-11-28|2025-11-28 14:22:01|
1925|5700357|160|1|2025-11-17|2025-11-21 11:53:02|
1925|5700315|160|1|2025-11-25|2025-11-28 11:31:02|
1925|5700327|160|2|2025-11-20|2025-11-20 12:24:03|
3577|5102331|521|1|2025-10-31|2025-11-03 16:09:01|
1925|5700303|160|1|2025-11-25|2025-11-28 10:59:01|
1925|5700287|160|2|2025-11-26|2025-11-26 17:43:03|
1637|5201476|521|2|2025-11-06|2025-11-06 23:20:01|
3471|5600765|160|2|2025-11-19|2025-11-19 19:00:02|
1925|5700341|160|2|2025-11-22|2025-11-22 10:54:02|
1925|5700331|160|2|2025-11-21|2025-11-21 12:15:02|
3577|5102369|521|1|2025-11-08|2025-11-12 13:58:01|
1925|5700316|160|1|2025-11-25|2025-11-28 11:26:01|
3471|5600794|160|2|2025-11-14|2025-11-14 15:50:01|
3577|5102401|521|2|2025-11-18|2025-11-18 13:32:00|
1925|5700312|160|2|2025-11-28|2025-11-28 11:37:01|
