Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1925|5700346|160|2025-10-17|COVE257TX20U8|CIF|USD|475.64|475.64|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-24 13:12:02|
3471|5600946|160|2025-10-29|COVE257UFLG94|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-28 20:35:00|
1925|5700363|160|2025-10-15|COVE257TYUXH2|CIF|USD|35864.54|35864.54|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-21 13:21:03|
3471|5600776|160|2025-10-14|COVE257U7YFJ6|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-21 18:08:02|
1925|5700225|160|2025-10-10|COVE257TEAOD3|CIF|USD|121.92|121.92|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 18:30:04|
1925|5700233|160|2025-10-12|COVE257TC6D13|CIF|USD|1649.26|1649.26|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 10:43:02|
1925|5100857|160|2025-10-14|COVE257SUC5P7|CIF|USD|49.32|49.32|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-19 11:27:02|
1925|5700274|160|2025-10-15|COVE257TSPDZ4|CIF|USD|520.80|520.80|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-19 09:49:01|
1925|5100856|160|2025-10-14|COVE257SUAXU8|CIF|USD|61498.74|61498.74|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-19 11:27:03|
3471|5600862|160|2025-10-09|COVE257TQFI21|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-14 16:48:01|
3577|5102368|521|2025-11-06|COVE257TU9MH3|DAP|USD|2243.08|2243.08|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-13 19:27:00|
1925|5700226|160|2025-10-10|COVE257TEAOD3|CIF|USD|58970.13|58970.13|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 18:32:01|
1925|5100827|160|2025-10-11|COVE257SEYL72|CIF|USD|66552.69|66552.69|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 16:35:05|
1925|5001388|160|2025-10-08|COVE257SG6V84|CIF|USD|53243.30|53243.30|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 13:04:02|
3577|5102331|521|2025-10-31|COVE257T934K2|DAP|USD|10919.20|10919.20|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-03 16:09:01|
1925|5100826|160|2025-10-11|COVE257SEYKE8|CIF|USD|584.66|584.66|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 16:35:01|
1925|5700270|160|2025-10-15|COVE257TR81T7|CIF|USD|365.18|365.18|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-19 09:41:03|
3043|5003554|523|2025-11-05|COVE257TX2R38|DAP|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2025-11-14 15:08:03|
3471|5600973|160|2025-10-24|COVE257UAREY7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-25 09:41:01|
