Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
3471|5600754|160|EGLV143574065700|M|2025-11-19 15:03:05|
1925|5001391|160|EGLV143574065742|M|2025-11-13 11:32:03|
3043|5603393|523|000005989910|M|2025-11-11 18:15:01|
3043|5603319|523|000005987769|M|2025-11-11 18:09:01|
1925|5100830|160|EGLV143574065751|M|2025-11-12 16:35:03|
3043|5603321|523|000005989908|M|2025-11-10 18:13:01|
1925|5700343|160|EGLV143581029977|M|2025-11-22 10:57:01|
1925|5700236|160|EGLV143559587122|M|2025-11-13 10:49:01|
3471|5600903|160|EGLV143581027923|M|2025-11-21 23:57:01|
3577|5102410|521|6323549164|H|2025-11-18 12:09:02|
3043|5603320|523|000005987183|M|2025-11-10 18:13:01|
1925|5700204|160|EGLV143559587122|M|2025-11-13 10:37:02|
3471|5600860|160|EGLV143559587024|M|2025-11-14 16:30:07|
3043|5603323|520|029622147397|M|2025-11-10 18:13:00|
3043|5603394|520|029774205075|M|2025-11-11 18:08:02|
1925|5700202|160|EGLV143559587122|M|2025-11-13 10:26:04|
3043|5603391|523|000005993073|M|2025-11-11 18:12:02|
3471|5600944|160|EGLV143581027877|M|2025-11-27 19:08:01|
1925|5700216|160|EGLV143574065823|M|2025-11-12 18:20:01|
1925|5700346|160|EGLV143581029977|M|2025-11-24 13:12:02|
1925|5700296|160|EGLV143581027851|M|2025-11-26 18:05:02|
1925|5700292|160|EGLV143581027851|M|2025-11-27 10:15:01|
1925|5700302|160|EGLV143581027869|M|2025-11-28 11:39:01|
1925|5100856|160|EGLV143574065734|M|2025-11-19 11:27:03|
3043|5603323|520|029627476474|M|2025-11-10 18:13:00|
1925|5001394|160|EGLV143574065742|M|2025-11-13 11:32:07|
1925|5700329|160|EGLV143581029977|M|2025-11-20 12:28:02|
1925|5700371|160|EGLV143581029969|M|2025-11-21 18:43:02|
3043|5603480|523|000006002757|M|2025-11-24 21:03:01|
3471|5600973|160|EGLV143581027923|M|2025-11-25 09:41:01|
1925|5100860|160|EGLV143574065734|M|2025-11-19 11:28:07|
1925|5700288|160|EGLV143581027851|M|2025-11-26 17:53:03|
3043|5603479|523|000006002753|M|2025-11-21 12:54:02|
3471|5600793|160|NGB500797700|M|2025-11-14 15:49:02|
3043|5603319|523|000005990917|M|2025-11-11 18:09:01|
1925|5700316|160|EGLV143581027869|M|2025-11-28 11:26:01|
1925|5700368|160|EGLV143581029969|M|2025-11-21 18:47:04|
3577|5102464|521|489-62160265|M|2025-11-27 12:08:02|
3897|5611341|240|000005998491|M|2025-11-05 11:01:07|
1925|5700274|160|EGLV143574065777|M|2025-11-19 09:49:01|
3043|5603320|523|000005989909|M|2025-11-10 18:13:01|
3577|5102382|521|9879133972|H|2025-11-19 14:44:02|
3471|5600746|160|EGLV143574065645|M|2025-11-20 21:45:01|
3043|5603320|523|000005987184|M|2025-11-10 18:13:01|
1925|5700352|160|EGLV143581029969|M|2025-11-20 11:38:05|
3577|5102343|521|023-60320610|M|2025-11-04 15:46:01|
3043|5603322|520|029623095596|M|2025-11-10 18:03:00|
