Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
3471|5600792|160|||PACIFIC INTERNATIONAL LINES (PRIVATE) LIMITED|GBR|EVERLISSOME|2025-11-14 17:05:01|
1925|5700336|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 12:23:00|
1925|5700329|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-20 12:28:02|
3471|5600783|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 15:08:00|
1925|5700293|160|||EVER FRONT|PAN|EVERFRONT|2025-11-27 10:15:02|
1925|5700209|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 17:57:01|
1925|5100858|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 11:48:01|
3471|5600866|160|||EVERGREEN LINE|GBR|EVERLISSOME|2025-11-14 16:09:02|
3471|5600727|160|||EVERGREEN LINE|LBR|EVERFEAT|2025-11-13 09:40:06|
3471|5600894|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-21 23:57:03|
