Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1925|6100026|160|98020019|34|C1||1931R825050423|7529.76|112.00000|2026-01-22 11:33:02|
1925|6000029|160|98020019|256|C1||1931R825050612|92.88|3096.00000|2026-01-22 14:00:07|
1614|6000082|160|98020019|218|C1||1931R825050575|10.80|360.00000|2026-01-20 11:18:02|
3471|6400027|160|98020019|28|C1||1931R825050608|43.52|1088.00000|2026-01-02 13:47:02|
3178|6000518|160|98020019|49|C1||1931R825050385|4.00|400.00000|2026-01-13 22:28:02|
3471|6400217|160|98020019|155|C1||1931R825050575|24.00|240.00000|2026-01-19 18:01:03|
3178|6000561|160|98020019|154|C1||1931R826001501|17.28|72.00000|2026-01-22 17:22:04|
1925|6100028|160|98020019|126|C1||1931R825050612|70.72|272.00000|2026-01-22 17:03:05|
3471|6400240|160|98020019|17|C1||1931R826001314|64.80|1080.00000|2026-01-26 09:17:02|
3471|6400240|160|98020019|176|C1||1931R825051346|7.20|120.00000|2026-01-26 09:17:02|
1614|6000508|160|98020019|69|C1||1931R825050423|8312.34|123.00000|2026-01-28 13:34:05|
3178|6000871|160|98020019|162|C1||1931R825050550|34.56|576.00000|2026-01-22 14:02:03|
1925|6000119|160|98020019|156|C1||1931R825050493|176.04|36.00000|2026-01-29 11:46:00|
1614|6000072|160|98020019|346|C1||1931R825050547|129.36|4312.00000|2026-01-07 20:04:00|
3471|6400247|160|98020019|41|C1||1931R826001628|92.00|400.00000|2026-01-26 11:44:04|
3471|6400240|160|98020019|16|C1||1931R826001314|81.60|8160.00000|2026-01-26 09:17:02|
1925|6000049|160|98020019|9|C1||1931R825050575|31.20|1560.00000|2026-01-22 14:05:05|
3178|6000972|160|98020019|87|C1||1931R825034288|44.80|1120.00000|2026-01-24 12:02:13|
1614|6000092|160|98020019|71|C1||1931R825050602|12.96|72.00000|2026-01-19 17:38:06|
3471|6400050|160|98020019|120|C1||1931R825056909|2316.44|28.00000|2026-01-07 17:58:03|
1925|6100040|160|98020019|38|C1||1931R825050575|9.60|320.00000|2026-01-24 12:58:04|
1614|6000518|160|98020019|211|C1||1931R825051346|1.20|120.00000|2026-01-28 13:35:05|
1925|6000049|160|98020019|58|C1||1931R825050550|43.20|720.00000|2026-01-22 14:05:05|
3471|6400236|160|98020019|146|C1||1931R825050575|118.80|3960.00000|2026-01-22 15:02:01|
3471|6400236|160|98020019|2|C1||1931R826000899|77.20|40.00000|2026-01-22 15:02:01|
3471|6400174|160|98020019|230|C1||1931R825051346|8.16|136.00000|2026-01-16 10:44:03|
1925|6000029|160|98020019|109|C1||1931R825034285|8.64|288.00000|2026-01-22 14:00:07|
