Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
1647|6004627|240|ED|0428260GW0MF8|1||2026-01-30 19:58:02|
3471|6400063|160|PP|20239540|1||2026-01-08 18:20:10|
1647|6004627|240|ED|0428260GW1SB7|1||2026-01-30 19:58:02|
1614|6000507|160|CR|40|1||2026-01-28 13:34:02|
1647|6004627|240|ED|0428260GWJGQ2|1||2026-01-30 19:58:02|
3178|6000534|160|CR|40|1||2026-01-15 16:40:06|
3178|6000146|160|ED|0436260NA1S57|1||2026-01-08 16:23:04|
3178|6000146|160|ED|0436260NA1Q41|1||2026-01-08 16:23:04|
3178|6000871|160|SO|AA|1||2026-01-22 14:02:03|
1925|6000112|160|ED|01922616XBN96|1||2026-01-29 11:24:02|
3178|6000738|160|ED|0438261CHNXA2|1||2026-01-22 11:22:03|
3471|6400256|160|CR|40|1||2026-01-28 14:25:02|
3471|6400063|160|ED|0170251826W85|1||2026-01-08 18:20:10|
1647|6004627|240|ED|0428260GVZCH7|1||2026-01-30 19:58:02|
3471|6400083|160|ED|0436260N9QI36|1||2026-01-08 17:14:05|
3178|6000841|160|ED|0436260NEUG41|1||2026-01-22 13:43:05|
1925|6700025|160|ED|01922516BEXE7|2||2026-01-13 10:52:07|
3178|6000147|160|ED|017026189CZ57|1||2026-01-08 16:23:03|
1925|6000113|160|ED|0436260NC41J1|1||2026-01-29 11:24:03|
3471|6400197|160|ED|01922616UDUI2|1||2026-01-28 23:24:02|
1647|6004627|240|ED|0428260GWILV5|1||2026-01-30 19:58:02|
3178|6000871|160|ED|0436260NEV2J6|1||2026-01-22 14:02:03|
3178|6000146|160|CR|40|1||2026-01-08 16:23:04|
3471|6400021|160|PP|20239540|1||2026-01-02 11:46:03|
1647|6004560|240|ED|0428260GUMEY5|1||2026-01-23 16:17:10|
1647|6004627|240|ED|0428260GW9BQ4|1||2026-01-30 19:58:02|
3471|6400242|160|IM|482023|1||2026-01-22 15:02:02|
1925|6000113|160|CR|40|1||2026-01-29 11:24:03|
3471|6400048|160|ED|0436260N9CSA8|1||2026-01-07 14:59:03|
1647|6004560|240|ED|0428260GV8DR6|1||2026-01-23 16:17:10|
3178|6000841|160|ED|0436260NEU8M1|1||2026-01-22 13:43:05|
3471|6400098|160|CR|241|1||2026-01-15 09:13:02|
1647|6004560|240|ED|0428260GVASQ2|1||2026-01-23 16:17:10|
1925|6100103|160|ED|01922616SYCX3|2||2026-01-22 18:55:02|
1925|6000113|160|ED|04432500AXTF8|1||2026-01-29 11:24:03|
3471|6400199|160|ED|0170261899GB5|1||2026-01-28 23:26:00|
1925|6000120|160|ED|01702618Q2H23|1||2026-01-29 11:23:04|
3471|6400146|160|ED|0436260N899Q6|1||2026-01-03 00:54:01|
3471|6400186|160|CR|40|1||2026-01-20 17:50:04|
3471|6400215|160|PP|20239540|1||2026-01-20 12:39:02|
3178|6000232|160|ED|0438261CD6166|1||2026-01-15 22:15:01|
3471|6400200|160|CR|40|1||2026-01-28 23:25:01|
3471|6400046|160|ED|0438261C5IMO5|1||2026-01-07 16:06:03|
1925|6000113|160|ED|0438261CN2RJ7|1||2026-01-29 11:24:03|
1614|6000076|160|IM|482023|1||2026-01-20 11:17:03|
3471|6400098|160|PP|20239540|1||2026-01-15 09:13:02|
3471|6400079|160|ED|0436260N9PV81|1||2026-01-08 16:17:05|
3471|6400178|160|ED|017026189TWM5|1||2026-01-16 10:11:03|
1614|6000507|160|ED|0438261CJ2OQ5|1||2026-01-28 13:34:02|
1925|6100103|160|ED|0436250MX2DJ3|2||2026-01-22 18:55:02|
3471|6400081|160|ED|0436260N9G9H7|1||2026-01-08 15:44:02|
3471|6400099|160|ED|0438261CA3M23|1||2026-01-15 09:13:01|
1647|6004627|240|ED|0428260GX98R2|1||2026-01-30 19:58:02|
3178|6000232|160|PP|20239540|1||2026-01-15 22:15:01|
1925|6610024|160|ED|0436250MVK8Z5|1||2026-01-22 11:29:02|
3178|6000230|160|ED|0436260NCO3W3|1||2026-01-16 08:31:01|
1647|6004560|240|ED|0428260GUQHO1|1||2026-01-23 16:17:10|
1647|6004627|240|ED|0428260GXG4U1|1||2026-01-30 19:58:02|
3471|6400146|160|PP|20239540|1||2026-01-03 00:54:01|
