Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
1925|6100038|160|87082999|38|PS|XIX||2026-01-24 13:04:01|
3471|6400240|160|98020019|3|EC|1||2026-01-26 09:17:02|
3471|6400240|160|87089999|92|EN|X|NOM-050-SCFI-2004|2026-01-26 09:17:02|
3577|6300109|521|98020019|3|EC|1||2026-01-27 11:03:01|
3178|6000846|160|73269099|1|XP|T1|U|2026-01-24 12:17:03|
3471|6400240|160|98020019|5|EC|1||2026-01-26 09:17:02|
3471|6400247|160|73181504|7|EN|X|NOM-050-SCFI-2004|2026-01-26 11:44:04|
3577|6300109|521|98020019|9|EC|1||2026-01-27 11:03:01|
3577|6300039|521|98020019|16|EC|1||2026-01-15 13:54:01|
3471|6400185|160|98020019|113|EC|1||2026-01-20 18:24:04|
3178|6000230|160|85044099|85|PS|XIX||2026-01-16 08:31:01|
1925|6100034|160|87082999|47|PS|XIX||2026-01-24 12:24:04|
3471|6400240|160|98020019|137|EC|1||2026-01-26 09:17:02|
3471|6400100|160|84836099|47|PS|XIX||2026-01-15 09:26:01|
3471|6400213|160|98020019|90|EC|1||2026-01-20 16:17:03|
3471|6400100|160|39269099|16|XP|S1|U|2026-01-15 09:26:01|
3178|6000847|160|98020019|94|EC|1||2026-01-24 12:17:03|
1925|6100036|160|70091099|70|PS|XIX||2026-01-24 12:28:02|
3178|6000954|160|98020019|304|EC|1||2026-01-24 13:42:01|
1925|6100032|160|87082999|13|PS|XIX||2026-01-24 12:13:01|
3471|6400247|160|83023091|12|PS|XIX||2026-01-26 11:44:04|
1925|6100038|160|87082999|14|PS|XIX||2026-01-24 13:04:01|
1925|6100030|160|87088099|18|PS|XIX||2026-01-24 12:09:04|
3471|6400240|160|98020019|12|EC|1||2026-01-26 09:17:02|
3471|6400098|160|87082999|5|PS|XIX||2026-01-15 09:13:02|
1614|6000090|160|98020019|102|EC|1||2026-01-19 17:38:06|
3471|6400174|160|98020019|202|EC|1||2026-01-16 10:44:03|
3577|6300120|521|87082999|56|PS|XIX||2026-01-26 14:38:00|
3178|6000954|160|98020019|187|EC|1||2026-01-24 13:42:01|
3471|6400100|160|87089999|137|EN|X|NOM-050-SCFI-2004|2026-01-15 09:26:01|
1614|6000090|160|98020019|273|EC|1||2026-01-19 17:38:06|
3178|6000232|160|87089999|66|EN|X|NOM-050-SCFI-2004|2026-01-15 22:15:01|
1925|6100032|160|98020019|39|EC|1||2026-01-24 12:13:01|
1925|6100040|160|85364199|85|EN|U|NOM-024-SCFI-2013|2026-01-24 12:58:04|
1925|6100030|160|87089203|9|EN|X|NOM-050-SCFI-2004|2026-01-24 12:09:04|
3577|6300120|521|87082999|17|PS|XIX||2026-01-26 14:38:00|
3471|6400241|160|73269099|6|XP|T1|U|2026-01-26 09:17:02|
3577|6300120|521|87082999|9|PS|XIX||2026-01-26 14:38:00|
3178|6000847|160|87082999|152|PS|XIX||2026-01-24 12:17:03|
3178|6000847|160|87082999|21|PS|XIX||2026-01-24 12:17:03|
3178|6000232|160|87082999|68|PS|XIX||2026-01-15 22:15:01|
1614|6000090|160|98020019|229|EC|1||2026-01-19 17:38:06|
3178|6000230|160|98020019|181|EC|1||2026-01-16 08:31:01|
3577|6300120|521|87082999|7|PS|XIX||2026-01-26 14:38:00|
3577|6300120|521|87082999|42|PS|XIX||2026-01-26 14:38:00|
3471|6400102|160|98020019|155|EC|1||2026-01-14 11:08:04|
1614|6000082|160|98020019|142|EC|1||2026-01-20 11:18:02|
3471|6400098|160|87082999|38|PS|XIX||2026-01-15 09:13:02|
3577|6300120|521|87082999|32|PS|XIX||2026-01-26 14:38:00|
3471|6400247|160|73181504|7|PS|XIX||2026-01-26 11:44:04|
3471|6400247|160|98020019|49|EC|1||2026-01-26 11:44:04|
3178|6000847|160|87089999|135|EN|X|NOM-050-SCFI-2004|2026-01-24 12:17:03|
3178|6000847|160|87082999|160|PS|XIX||2026-01-24 12:17:03|
1925|6100036|160|87082999|6|PS|XIX||2026-01-24 12:28:02|
3178|6000847|160|87082999|171|PS|XIX||2026-01-24 12:17:03|
3471|6400247|160|98020019|47|EC|1||2026-01-26 11:44:04|
3178|6000539|160|85365099|54|EN|U|NOM-003-SCFI-2014|2026-01-16 17:25:05|
3471|6400215|160|98020019|156|EC|1||2026-01-20 12:39:02|
3471|6400094|160|39269099|9|EN|U|NOM-002-CONAGUA-2021|2026-01-15 08:44:02|
1925|6100039|160|73269099|9|XP|T9|U|2026-01-24 12:36:03|
3471|6400240|160|98020019|110|EC|1||2026-01-26 09:17:02|
3178|6000539|160|84152001|102|EN|X|NOM-050-SCFI-2004|2026-01-16 17:25:05|
1614|6000080|160|87082999|32|PS|XIX||2026-01-20 11:17:06|
3471|6400094|160|87089999|66|EN|X|NOM-050-SCFI-2004|2026-01-15 08:44:02|
3471|6400247|160|98020019|60|EC|1||2026-01-26 11:44:04|
3471|6400240|160|98020019|174|EC|1||2026-01-26 09:17:02|
3471|6400247|160|98020019|16|EC|1||2026-01-26 11:44:04|
3471|6400247|160|98020019|56|EC|1||2026-01-26 11:44:04|
3471|6400240|160|39269099|13|EN|X|NOM-050-SCFI-2004|2026-01-26 09:17:02|
3471|6400247|160|98020019|21|EC|1||2026-01-26 11:44:04|
3178|6000847|160|87082999|19|PS|XIX||2026-01-24 12:17:03|
3178|6000846|160|39232991|3|XP|A1|U|2026-01-24 12:17:03|
1905|6006286|160|98020019|15|EC|1||2026-01-15 18:02:18|
1614|6000088|160|87089999|37|EN|X|NOM-050-SCFI-2004|2026-01-19 17:37:05|
3178|6000234|160|87082201|41|PS|XIX||2026-01-15 22:14:01|
3471|6400247|160|98020019|17|EC|1||2026-01-26 11:44:04|
3471|6400247|160|98020019|44|EC|1||2026-01-26 11:44:04|
3178|6000234|160|87082999|9|PS|XIX||2026-01-15 22:14:01|
1614|6000080|160|87082999|29|PS|XIX||2026-01-20 11:17:06|
3471|6400098|160|87082999|25|PS|XIX||2026-01-15 09:13:02|
1925|6100038|160|98020019|184|EC|1||2026-01-24 13:04:01|
3178|6000847|160|39269029|91|PS|XIX||2026-01-24 12:17:03|
1925|6100036|160|87082999|14|PS|XIX||2026-01-24 12:28:02|
3471|6400240|160|85365099|37|EN|U|NOM-003-SCFI-2014|2026-01-26 09:17:02|
1925|6100038|160|73181504|155|PS|XIX||2026-01-24 13:04:01|
3471|6400241|160|73269099|8|XP|T3|U|2026-01-26 09:17:02|
1925|6100030|160|87089999|8|EN|X|NOM-050-SCFI-2004|2026-01-24 12:09:04|
3178|6000954|160|82060001|131|PS|XIX||2026-01-24 13:42:01|
3471|6400096|160|87089999|55|EN|X|NOM-050-SCFI-2004|2026-01-15 09:00:04|
3471|6400213|160|98020019|97|EC|1||2026-01-20 16:17:03|
3471|6400180|160|87082999|27|PS|XIX||2026-01-16 10:11:02|
1925|6100034|160|39269099|117|XP|S1|U|2026-01-24 12:24:04|
3577|6300120|521|87082999|37|PS|XIX||2026-01-26 14:38:00|
3178|6000234|160|87082201|43|PS|XIX||2026-01-15 22:14:01|
1614|6000092|160|87082999|12|PS|XIX||2026-01-19 17:38:06|
3471|6400101|160|73269099|2|XP|T1|U|2026-01-15 09:13:03|
1925|6100038|160|39269099|112|EN|X|NOM-050-SCFI-2004|2026-01-24 13:04:01|
3043|6000223|523|56090002|1|EX|31||2026-01-27 16:17:01|
3471|6400247|160|98020019|28|EC|1||2026-01-26 11:44:04|
1925|6100030|160|39269099|29|EN|X|NOM-050-SCFI-2004|2026-01-24 12:09:04|
3178|6000847|160|87087099|32|EN|U|NOM-086-1-SCFI-2020|2026-01-24 12:17:03|
3471|6400240|160|98020019|11|EC|1||2026-01-26 09:17:02|
1925|6100034|160|98020019|29|EC|1||2026-01-24 12:24:04|
1925|6100034|160|85444299|76|PS|XIX||2026-01-24 12:24:04|
1905|6006286|160|98020019|2|EC|1||2026-01-15 18:02:18|
